"","group","Day","Pig","Treatment","Sample.type","All","Order","value","value2"
"575","X9P247R1Dm3","DNEG3","P247","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Spirochaetales",0.1101,0.6115
"576","X9P254R1Dm3","DNEG3","P254","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Selenomonadales",0.1087,0.6039
"577","X9P254R1Dm3","DNEG3","P254","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Spirochaetales",0.1079,0.5996
"578","X9P293R3D0","D0","P293","INFinject","Fecal or Fecal swab","D0_INFinject","Lactobacillales",0.0779,0.599
"579","X9P307R4Dm3","DNEG3","P307","INFnm","Fecal Swab","DNEG3_INFnm","Spirochaetales",0.1011,0.5946
"580","X9P301R3Dm3","DNEG3","P301","INFinject","Fecal Swab","DNEG3_INFinject","Lactobacillales",0.1009,0.5937
"581","X9P267R2Dm3","DNEG3","P267","INFfeed","Fecal Swab","DNEG3_INFfeed","Enterobacteriales",0.1174,0.5869
"582","X9P267R2D0","D0","P267","INFfeed","Fecal or Fecal swab","D0_INFfeed","Enterobacteriales",0.0293,0.5864
"583","X9P286R3D4","D4","P286","INFinject","Fecal or Fecal swab","D4_INFinject","Lactobacillales",0.0408,0.5824
"584","X9P297R3D0","D0","P297","INFinject","Fecal or Fecal swab","D0_INFinject","Clostridiales",0.0747,0.5748
"585","X9P290R3Dm3","DNEG3","P290","INFinject","Fecal Swab","DNEG3_INFinject","Lactobacillales",0.0977,0.5746
"586","X9P312R4Dm3","DNEG3","P312","INFnm","Fecal Swab","DNEG3_INFnm","Clostridiales",0.0974,0.5728
"587","X9P273R2Dm3","DNEG3","P273","INFfeed","Fecal Swab","DNEG3_INFfeed","Selenomonadales",0.114,0.5698
"588","X9P302R3Dm3","DNEG3","P302","INFinject","Fecal Swab","DNEG3_INFinject","Selenomonadales",0.096,0.565
"589","X9P268R2Dm3","DNEG3","P268","INFfeed","Fecal Swab","DNEG3_INFfeed","Clostridiales",0.1118,0.559
"590","X9P279R2Dm3","DNEG3","P279","INFfeed","Fecal Swab","DNEG3_INFfeed","Selenomonadales",0.1107,0.5534
"591","X9P269R2Dm3","DNEG3","P269","INFfeed","Fecal Swab","DNEG3_INFfeed","Selenomonadales",0.1106,0.553
"592","X9P269R2Dm3","DNEG3","P269","INFfeed","Fecal Swab","DNEG3_INFfeed","Campylobacterales",0.1098,0.5491
"593","X9P268R2Dm3","DNEG3","P268","INFfeed","Fecal Swab","DNEG3_INFfeed","Gammaproteobacteria_unclassified",0.1095,0.5474
"594","X9P287R3Dm3","DNEG3","P287","INFinject","Fecal Swab","DNEG3_INFinject","Selenomonadales",0.0925,0.5443
"595","X9P316R4D4","D4","P316","INFnm","Fecal or Fecal swab","D4_INFnm","Mollicutes_RF39",0.0326,0.5431
"596","X9P319R4D4","D4","P319","INFnm","Fecal or Fecal swab","D4_INFnm","Lactobacillales",0.0324,0.5405
"597","X9P309R4Dminus3","DNEG3","P309","INFnm","Fecal or Fecal swab","DNEG3_INFnm","Spirochaetales",0.0897,0.5277
"598","X9P291R3D0","D0","P291","INFinject","Fecal or Fecal swab","D0_INFinject","Mollicutes_RF39",0.0686,0.5274
"599","X9P321R4D7","D7","P321","INFnm","Fecal","D7_INFnm","Bifidobacteriales",0.0524,0.5243
"600","X9P251R1Dm3","DNEG3","P251","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Campylobacterales",0.0926,0.5144
"601","X9P280R2Dm3","DNEG3","P280","INFfeed","Fecal Swab","DNEG3_INFfeed","Lactobacillales",0.1017,0.5085
