"","group","Day","Pig","Treatment","Sample.type","All","Phylum","value","value2","forplot"
"1088","X9P251R1Dm3","DNEG3","P251","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Bacteria_unclassified",0.0031,0.0171,"keep"
"1089","X9P265R1D0","D0","P265","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Bacteria_unclassified",0.0015,0.0171,"keep"
"1090","X9P255R1D0","D0","P255","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Planctomycetes",0.0015,0.0171,"keep"
"1091","X9P263R1Dm3","DNEG3","P263","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Cyanobacteria",0.0031,0.0171,"keep"
"1092","X9P325R4D7","D7","P325","INFnm","Fecal","D7_INFnm","Planctomycetes",0.0016,0.0156,"keep"
"1093","X9P302R3D7","D7","P302","INFinject","Fecal","D7_INFinject","Epsilonbacteraeota",0.0015,0.0155,"keep"
"1094","X9P323R4D7","D7","P323","INFnm","Fecal","D7_INFnm","Spirochaetes",0.0015,0.0155,"keep"
"1095","X9P285R2Dm3","DNEG3","P285","INFfeed","Fecal Swab","DNEG3_INFfeed","Bacteria_unclassified",0.0031,0.0155,"keep"
"1096","X9P277R2Dm3","DNEG3","P277","INFfeed","Fecal Swab","DNEG3_INFfeed","Planctomycetes",0.0031,0.0155,"keep"
"1097","X9P292R3D7","D7","P292","INFinject","Fecal","D7_INFinject","Planctomycetes",0.0015,0.0155,"keep"
"1098","X9P294R3D7","D7","P294","INFinject","Fecal","D7_INFinject","Planctomycetes",0.0015,0.0155,"keep"
"1099","X9P275R2D7","D7","P275","INFfeed","Fecal or Fecal swab","D7_INFfeed","Cyanobacteria",0.0016,0.0155,"keep"
"1100","X9P305R3D7","D7","P305","INFinject","Fecal","D7_INFinject","Proteobacteria",0.0015,0.0154,"keep"
"1101","X9P315R4D7","D7","P315","INFnm","Fecal","D7_INFnm","Proteobacteria",0.0015,0.0154,"keep"
"1102","X9P322R4D7","D7","P322","INFnm","Fecal","D7_INFnm","Proteobacteria",0.0015,0.0154,"keep"
"1103","X9P271R2D7","D7","P271","INFfeed","Fecal","D7_INFfeed","Epsilonbacteraeota",0.0015,0.0154,"keep"
"1104","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Epsilonbacteraeota",8e-04,0.0154,"keep"
"1105","X9P303R3D7","D7","P303","INFinject","Fecal or Fecal swab","D7_INFinject","Epsilonbacteraeota",0.0015,0.0154,"keep"
"1106","X9P246R1D4","D4","P246","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Spirochaetes",8e-04,0.0154,"keep"
"1107","X9P250R1D4","D4","P250","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Spirochaetes",8e-04,0.0154,"keep"
"1108","X9P301R3D7","D7","P301","INFinject","Fecal","D7_INFinject","Spirochaetes",0.0015,0.0154,"keep"
"1109","X9P312R4D7","D7","P312","INFnm","Fecal","D7_INFnm","Spirochaetes",0.0015,0.0154,"keep"
"1110","X9P266R2Dm3","DNEG3","P266","INFfeed","Fecal Swab","DNEG3_INFfeed","Tenericutes",0.0031,0.0154,"keep"
"1111","X9P301R3D7","D7","P301","INFinject","Fecal","D7_INFinject","Tenericutes",0.0015,0.0154,"keep"
"1112","X9P303R3D7","D7","P303","INFinject","Fecal or Fecal swab","D7_INFinject","Tenericutes",0.0015,0.0154,"keep"
