"","group","Day","Pig","Treatment","Sample.type","All","Phylum","value","value2","forplot"
"577","X9P261R1Dm3","DNEG3","P261","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Actinobacteria",0.0239,0.1404,"keep"
"578","X9P278R2D0","D0","P278","INFfeed","Fecal or Fecal swab","D0_INFfeed","Spirochaetes",0.0069,0.139,"keep"
"579","X9P246R1D4","D4","P246","NONINFnm","Fecal or Fecal swab","D4_NONINFnm","Cyanobacteria",0.0069,0.1385,"keep"
"580","X9P295R3D0","D0","P295","INFinject","Fecal or Fecal swab","D0_INFinject","Actinobacteria",0.0177,0.1363,"keep"
"581","X9P302R3D0","D0","P302","INFinject","Fecal or Fecal swab","D0_INFinject","Actinobacteria",0.0177,0.1363,"keep"
"582","X9P269R2D4","D4","P269","INFfeed","Fecal or Fecal swab","D4_INFfeed","Tenericutes",0.0055,0.1363,"keep"
"583","X9P306R4Dm3","DNEG3","P306","INFnm","Fecal Swab","DNEG3_INFnm","Proteobacteria",0.0231,0.1362,"keep"
"584","X9P289R3D4","D4","P289","INFinject","Fecal or Fecal swab","D4_INFinject","Proteobacteria",0.0092,0.1321,"keep"
"585","X9P325R4D7","D7","P325","INFnm","Fecal","D7_INFnm","Proteobacteria",0.0132,0.1319,"keep"
"586","X9P247R1Dm3","DNEG3","P247","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Epsilonbacteraeota",0.0224,0.1319,"keep"
"587","X9P259R1Dm3","DNEG3","P259","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Proteobacteria",0.0223,0.1314,"keep"
"588","X9P283R2D7","D7","P283","INFfeed","Fecal","D7_INFfeed","Tenericutes",0.0131,0.1308,"keep"
"589","X9P318R4D4","D4","P318","INFnm","Fecal or Fecal swab","D4_INFnm","Proteobacteria",0.0077,0.1289,"keep"
"590","X9P250R1D0","D0","P250","NONINFnm","Fecal or Fecal swab","D0_NONINFnm","Epsilonbacteraeota",0.0115,0.1282,"keep"
"591","X9P274R2Dm3","DNEG3","P274","INFfeed","Fecal Swab","DNEG3_INFfeed","Spirochaetes",0.0255,0.1276,"keep"
"592","X9P300R3Dm3","DNEG3","P300","INFinject","Fecal Swab","DNEG3_INFinject","Proteobacteria",0.0216,0.1271,"keep"
"593","X9P253R1D7","D7","P253","NONINFnm","Fecal","D7_NONINFnm","Proteobacteria",0.01,0.1256,"keep"
"594","X9P297R3D0","D0","P297","INFinject","Fecal or Fecal swab","D0_INFinject","Proteobacteria",0.0162,0.1246,"keep"
"595","X9P325R4Dm3","DNEG3","P325","INFnm","Fecal Swab","DNEG3_INFnm","Proteobacteria",0.0211,0.1239,"keep"
