"","group","Day","Pig","Treatment","Sample.type","All","Order","value","value2"
"349","X9P322R4D7","D7","P322","INFnm","Fecal","D7_INFnm","Clostridiales",0.1646,1.6462
"350","X9P246R1Dm3","DNEG3","P246","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Bacteroidales",0.2792,1.6425
"351","X9P297R3D4","D4","P297","INFinject","Fecal or Fecal swab","D4_INFinject","Bacteroidales",0.1138,1.6264
"352","X9P321R4Dm3","DNEG3","P321","INFnm","Fecal Swab","DNEG3_INFnm","Clostridiales",0.2755,1.6204
"353","X9P309R4D0","D0","P309","INFnm","Fecal or Fecal swab","D0_INFnm","Selenomonadales",0.1123,1.6044
"354","X9P264R1Dm3","DNEG3","P264","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Bacteroidales",0.2692,1.5837
"355","X9P317R4D0","D0","P317","INFnm","Fecal or Fecal swab","D0_INFnm","Bacteroidales",0.1109,1.5836
"356","X9P254R1Dm3","DNEG3","P254","NONINFnm","Fecal Swab","DNEG3_NONINFnm","Clostridiales",0.2691,1.5832
"357","X9P323R4D7","D7","P323","INFnm","Fecal","D7_INFnm","Bacteroidales",0.1579,1.5794
"358","X9P283R2D7","D7","P283","INFfeed","Fecal","D7_INFfeed","Lactobacillales",0.1569,1.5692
"359","X9P296R3Dm3","DNEG3","P296","INFinject","Fecal Swab","DNEG3_INFinject","Selenomonadales",0.2666,1.568
"360","X9P284R2D7","D7","P284","INFfeed","Fecal","D7_INFfeed","Selenomonadales",0.1568,1.5676
"361","X9P314R4D7","D7","P314","INFnm","Fecal","D7_INFnm","Clostridiales",0.1563,1.5627
"362","X9P315R4D7","D7","P315","INFnm","Fecal","D7_INFnm","Clostridiales",0.1562,1.5615
"363","X9P309R4D0","D0","P309","INFnm","Fecal or Fecal swab","D0_INFnm","Clostridiales",0.1092,1.5604
"364","X9P306R4Dm3","DNEG3","P306","INFnm","Fecal Swab","DNEG3_INFnm","Selenomonadales",0.2647,1.5568
"365","X9P322R4D7","D7","P322","INFnm","Fecal","D7_INFnm","Bacteroidales",0.1554,1.5538
"366","X9P301R3D0","D0","P301","INFinject","Fecal or Fecal swab","D0_INFinject","Selenomonadales",0.1992,1.5325
"367","X9P281R2D7","D7","P281","INFfeed","Fecal","D7_INFfeed","Lactobacillales",0.1532,1.5319
"368","X9P304R3Dm3","DNEG3","P304","INFinject","Fecal Swab","DNEG3_INFinject","Selenomonadales",0.2583,1.5193
"369","X9P291R3Dminus3","DNEG3","P291","INFinject","Fecal or Fecal swab","DNEG3_INFinject","Bacteroidales",0.2575,1.5148
"370","X9P309R4Dminus3","DNEG3","P309","INFnm","Fecal or Fecal swab","DNEG3_INFnm","Selenomonadales",0.2575,1.5148
